value,description,altLabels
Nonne,"Mönche/Nonnen führen eine als Mönchtum bezeichnete Lebensweise. Sie legen einen Eid ab, als Mitglied ihrer Religionsgemeinschaft an geistigen Werken teilzunehmen. Mönche/Nonnen nehmen am täglichen Gebet teil und leben häufig gemeinsam mit anderen Mönchen/Nonnen in autarken Klöstern oder Konventen.",Pater|Zönobit|Ordensbruder|Ordensfrau|Klosterbruder|Klosterfrau|Ordensgeistlicher|Ordensschwester|Mönch|Klosterschwester|Frater|Ordensmann
Notar,"Notare gewährleisten die Echtheit und Rechtmäßigkeit amtlicher Dokumente wie Erklärungen, Bescheinigungen, Verträge, Urkunden und Kaufbelege. Sie prüfen die Dokumente und beglaubigen die Echtheit der Unterschrift. Sie nehmen Vereidigungen vor und stellen Erklärungen und sonstige notarielle Beurkundungen aus.",Notarin
Notariatsmitarbeiter,"Notariatsmitarbeiter erbringen Dienstleistungen für die rechtmäßige Übertragung von Rechtstiteln und Eigentum von einer Partei an eine andere. Sie tauschen die erforderlichen Verträge aus und stellen sicher, dass Eigentum, Titel und Rechte vollumfänglich übertragen werden.",Notariatsgehilfin|Notargehilfe|Notarfachangestellte|Notarfachangestellter|Notariatsmitarbeiterin|Notariatsgehilfe|Notargehilfin
Notariatsmitarbeiterin,"Notariatsmitarbeiter erbringen Dienstleistungen für die rechtmäßige Übertragung von Rechtstiteln und Eigentum von einer Partei an eine andere. Sie tauschen die erforderlichen Verträge aus und stellen sicher, dass Eigentum, Titel und Rechte vollumfänglich übertragen werden.",Notariatsgehilfin|Notargehilfe|Notarfachangestellte|Notarfachangestellter|Notariatsmitarbeiter|Notariatsgehilfe|Notargehilfin
Notarin,"Notare gewährleisten die Echtheit und Rechtmäßigkeit amtlicher Dokumente wie Erklärungen, Bescheinigungen, Verträge, Urkunden und Kaufbelege. Sie prüfen die Dokumente und beglaubigen die Echtheit der Unterschrift. Sie nehmen Vereidigungen vor und stellen Erklärungen und sonstige notarielle Beurkundungen aus.",Notar
Notfallkoordinator,"Notfallkoordinatoren/Notfallkoordinatorinnen analysieren potenzielle Risiken wie Katastrophen und Notfälle für eine Gemeinschaft oder Einrichtung und entwickeln eine Strategie für die Reaktion auf diese Risiken. Sie umschreiben Leitlinien für Notfallmaßnahmen, um die Auswirkungen zu mindern. Sie informieren gefährdete Parteien über diese Leitlinien. Sie testen auch Notfallpläne und stellen sicher, dass die erforderlichen Ausrüstungen und Geräte im Einklang mit den Gesundheits- und Sicherheitsvorschriften vorhanden sind.",Katastrophenkoordinatorin|Katastrophenkoordinator|Notfallvorsorgekoordinator|Notfallvorsorgekoordinatorin|Notfallkoordinatorin
Notfallkoordinatorin,"Notfallkoordinatoren/Notfallkoordinatorinnen analysieren potenzielle Risiken wie Katastrophen und Notfälle für eine Gemeinschaft oder Einrichtung und entwickeln eine Strategie für die Reaktion auf diese Risiken. Sie umschreiben Leitlinien für Notfallmaßnahmen, um die Auswirkungen zu mindern. Sie informieren gefährdete Parteien über diese Leitlinien. Sie testen auch Notfallpläne und stellen sicher, dass die erforderlichen Ausrüstungen und Geräte im Einklang mit den Gesundheits- und Sicherheitsvorschriften vorhanden sind.",Katastrophenkoordinatorin|Katastrophenkoordinator|Notfallvorsorgekoordinator|Notfallvorsorgekoordinatorin|Notfallkoordinator
Notfallsanitäter,"Notfallsanitäter erbringen medizinische Notfallversorgung für kranke, verletzte und gefährdete Personen vor und während des Transports zu einer medizinischen Einrichtung. Sie sorgen für den Transport des Patienten und führen ihn durch. Sie leisten Unterstützung in akuten Notfällen, leisten lebensrettende Sofortmaßnahmen und überwachen die Durchführung des Transports. Je nach nationalem Recht führen sie bisweilen auch Sauerstoff zu oder verabreichen bestimmte Medikamente, legen Infusionen für Ringerlösung oder nehmen eine endotracheale Intubation vor, wenn dies für die unmittelbare Abwehr von Gefahren für das Leben oder die Gesundheit eines Notfallpatienten erforderlich ist.",Sanitäterin|Sanitäter|Rettungssanitäter|Notfallsanitäterin|Rettungsassistent Fahrdienst|Rettungsassistentin Fahrdienst|Rettungssanitäterin
Notfallsanitäterin,"Notfallsanitäter erbringen medizinische Notfallversorgung für kranke, verletzte und gefährdete Personen vor und während des Transports zu einer medizinischen Einrichtung. Sie sorgen für den Transport des Patienten und führen ihn durch. Sie leisten Unterstützung in akuten Notfällen, leisten lebensrettende Sofortmaßnahmen und überwachen die Durchführung des Transports. Je nach nationalem Recht führen sie bisweilen auch Sauerstoff zu oder verabreichen bestimmte Medikamente, legen Infusionen für Ringerlösung oder nehmen eine endotracheale Intubation vor, wenn dies für die unmittelbare Abwehr von Gefahren für das Leben oder die Gesundheit eines Notfallpatienten erforderlich ist.",Sanitäterin|Notfallsanitäter|Sanitäter|Rettungssanitäter|Rettungsassistent Fahrdienst|Rettungsassistentin Fahrdienst|Rettungssanitäterin
Notruftelefonist,"Notruftelefonisten nehmen dringende Anrufe im Kontrollzentrum entgegen, notieren Angaben über die Notfallsituation, die Anschrift und andere Einzelheiten und veranlassen die Entsendung des nächstgelegenen Krankenwagens oder Rettungshubschraubers.",Disponentin|Disponent|Notrufdisponent|Notruftelefonistin|Notrufspezialist|Dispatcher im Rettungsdienst|Notrufspezialistin|Notrufdisponentin|Disponent in einer Notrufzentrale|Dispatcher für medizinische Notfälle
Notruftelefonistin,"Notruftelefonisten nehmen dringende Anrufe im Kontrollzentrum entgegen, notieren Angaben über die Notfallsituation, die Anschrift und andere Einzelheiten und veranlassen die Entsendung des nächstgelegenen Krankenwagens oder Rettungshubschraubers.",Disponentin|Disponent|Notrufdisponent|Notruftelefonist|Notrufspezialist|Dispatcher im Rettungsdienst|Notrufspezialistin|Notrufdisponentin|Disponent in einer Notrufzentrale|Dispatcher für medizinische Notfälle
Nudelhersteller,"Nudelhersteller bereiten nach bestimmten Rezepturen und Prozessen frische Nudeln, Füllungen, und andere Teigwaren vor.",Nudelherstellerin|Pastaherstellerin|Pastahersteller
Nudelherstellerin,"Nudelhersteller bereiten nach bestimmten Rezepturen und Prozessen frische Nudeln, Füllungen, und andere Teigwaren vor.",Pastaherstellerin|Pastahersteller|Nudelhersteller
Nudelmaschinenbediener,"Nudelmaschinenbediener stellen getrocknete Nudelwaren her. Sie entnehmen die Rohzutaten aus den Vorratssilos und den Zutaten-Ausgabesystemen. Die Nudelmaschinenbediener mischen, kneten und entziehen die Feuchtigkeit, um die gewünschte Trocknung der Teigwaren zu erhalten.",Nudelmaschinenbedienerin|Nudelmaschinenführer|Nudelmaschinenfahrer|Nudelmaschinenfahrerin|Teigwarenmaschinenbedienerin|Pastamaschinenbedienerin|Nudelmaschinenführerin|Pastamaschinenbediener|Teigwarenmaschinenbediener
Nudelmaschinenbedienerin,"Nudelmaschinenbediener stellen getrocknete Nudelwaren her. Sie entnehmen die Rohzutaten aus den Vorratssilos und den Zutaten-Ausgabesystemen. Die Nudelmaschinenbediener mischen, kneten und entziehen die Feuchtigkeit, um die gewünschte Trocknung der Teigwaren zu erhalten.",Nudelmaschinenführer|Nudelmaschinenfahrer|Nudelmaschinenfahrerin|Teigwarenmaschinenbedienerin|Nudelmaschinenbediener|Pastamaschinenbedienerin|Nudelmaschinenführerin|Pastamaschinenbediener|Teigwarenmaschinenbediener
Nuklearingenieur,Nuklearingenieure/Nuklearingenieurinnen planen und entwickeln technische Ausrüstung und Prozesse in Kernkraftwerken und kerntechnischen Anlagen. Sie üben ingenieurtechnische Tätigkeiten im Zusammenhang mit Kernkraftwerken aus und entwickeln Risikolösungen.,Ingenieurin für Kerntechnik|Nuklearingenieurin|Kernkraftingenieur|Ingenieurin für Kernkraftwerkstechnik|Atomkraftanlageningenieurin|Ingenieur für Kernkraftwerkstechnik|Ingenieur für Kerntechnik|Kernkraftingenieurin|Atomkraftanlageningenieur
Nuklearingenieurin,Nuklearingenieure/Nuklearingenieurinnen planen und entwickeln technische Ausrüstung und Prozesse in Kernkraftwerken und kerntechnischen Anlagen. Sie üben ingenieurtechnische Tätigkeiten im Zusammenhang mit Kernkraftwerken aus und entwickeln Risikolösungen.,Ingenieurin für Kerntechnik|Kernkraftingenieur|Ingenieurin für Kernkraftwerkstechnik|Atomkraftanlageningenieurin|Ingenieur für Kernkraftwerkstechnik|Nuklearingenieur|Ingenieur für Kerntechnik|Kernkraftingenieurin|Atomkraftanlageningenieur
Nukleartechniker,"Nukleartechniker unterstützen Physiker und Ingenieure in Nuklearlaboren und Kraftwerken. Sie überwachen die Verfahren, um die Sicherheit und Qualitätskontrolle zu gewährleisten, und halten die Anlagen instand. Außerdem bedienen und steuern sie radioaktive Geräte und messen die Strahlungsintensität, um die Sicherheit zu gewährleisten.",Nukleartechnikerin|Strahlentechnikerin|Strahlentechniker|Strahlenmesstechnikerin|Strahlenmesstechniker
Nukleartechnikerin,"Nukleartechniker unterstützen Physiker und Ingenieure in Nuklearlaboren und Kraftwerken. Sie überwachen die Verfahren, um die Sicherheit und Qualitätskontrolle zu gewährleisten, und halten die Anlagen instand. Außerdem bedienen und steuern sie radioaktive Geräte und messen die Strahlungsintensität, um die Sicherheit zu gewährleisten.",Nukleartechniker|Strahlentechnikerin|Strahlentechniker|Strahlenmesstechnikerin|Strahlenmesstechniker
Obdachlosenbetreuer,"Obdachlosenbetreuer erbringen vor Ort Unterstützungs- und Beratungsleistungen für Menschen, die Wohnprobleme haben oder auf der Straße leben. Sie zeigen ihnen auf, welche Dienstleistungen für obdachlose Personen angeboten werden, z. B. die Unterbringung in Wohnheimen und finanzielle Hilfen. Bisweilen müssen sie mit Menschen zurechtkommen, die an psychischen Problemen oder Suchterkrankungen leiden oder Opfer von häuslicher oder sexueller Gewalt wurden.",Obdachlosenbetreuerin|Betreuer von Wohnungslosen|Betreuerin von Wohnungslosen
Obdachlosenbetreuerin,"Obdachlosenbetreuer erbringen vor Ort Unterstützungs- und Beratungsleistungen für Menschen, die Wohnprobleme haben oder auf der Straße leben. Sie zeigen ihnen auf, welche Dienstleistungen für obdachlose Personen angeboten werden, z. B. die Unterbringung in Wohnheimen und finanzielle Hilfen. Bisweilen müssen sie mit Menschen zurechtkommen, die an psychischen Problemen oder Suchterkrankungen leiden oder Opfer von häuslicher oder sexueller Gewalt wurden.",Obdachlosenbetreuer|Betreuer von Wohnungslosen|Betreuerin von Wohnungslosen
Oberbauleiter,"Oberbauleiter verfolgen die Vorgänge in allen Phasen des Bauprozesses. Sie koordinieren die Teams, übertragen Aufgaben und lösen Probleme.",Baupolierin|Bauprojektleiterin|Bauprojektleiter|Oberbauleiterin|Baupolier|Bauvorarbeiter|Bauleiterin|Bauvorarbeiterin
Oberbauleiterin,"Oberbauleiter verfolgen die Vorgänge in allen Phasen des Bauprozesses. Sie koordinieren die Teams, übertragen Aufgaben und lösen Probleme.",Baupolierin|Bauprojektleiterin|Bauprojektleiter|Baupolier|Bauvorarbeiter|Oberbauleiter|Bauleiterin|Bauvorarbeiterin
Oberbohrmeister,"Oberbohrmeister tragen die Verantwortung für die täglichen Bohrvorgänge. Sie arbeiten überwiegend in der Verwaltung. Oberbohrmeister stellen sicher, dass auf der Bohrinsel ausreichend Materialien, Ersatzteile und Personal für die Aufrechterhaltung des täglichen Betriebs vorhanden sind. Sie führen Bohrungen gemäß Programmplan durch und überwachen das Bohrteam und die Geräte.",Bohrinselmanager|Bohrstellenleiter|Bohrstellenleiterin|Oberbohrmeisterin|Bohrinselmanagerin
Oberbohrmeisterin,"Oberbohrmeister tragen die Verantwortung für die täglichen Bohrvorgänge. Sie arbeiten überwiegend in der Verwaltung. Oberbohrmeister stellen sicher, dass auf der Bohrinsel ausreichend Materialien, Ersatzteile und Personal für die Aufrechterhaltung des täglichen Betriebs vorhanden sind. Sie führen Bohrungen gemäß Programmplan durch und überwachen das Bohrteam und die Geräte.",Oberbohrmeister|Bohrinselmanager|Bohrstellenleiter|Bohrstellenleiterin|Bohrinselmanagerin
Oberflächenbearbeiter,"Oberflächenbearbeiter behandeln die Oberfläche von Holzmöbeln mit Handwerkzeugen und Elektrowerkzeugen zum Schmirgeln, Reinigen und Polieren. Sie tragen mit verschiedenen Techniken, z. B. unter Verwendung von Bürsten oder Spritzpistolen, Beschichtungen auf Holzoberflächen auf. Dabei wählen sie je nach Schutz- oder dekorativen Zwecken die geeigneten Beschichtungen aus.",Furniererin|Oberflächenbearbeiterin|Furnierer|Holzoberflächenbearbeiter|Holzoberflächenbearbeiterin
Oberflächenbearbeiterin,"Oberflächenbearbeiter behandeln die Oberfläche von Holzmöbeln mit Handwerkzeugen und Elektrowerkzeugen zum Schmirgeln, Reinigen und Polieren. Sie tragen mit verschiedenen Techniken, z. B. unter Verwendung von Bürsten oder Spritzpistolen, Beschichtungen auf Holzoberflächen auf. Dabei wählen sie je nach Schutz- oder dekorativen Zwecken die geeigneten Beschichtungen aus.",Furniererin|Oberflächenbearbeiter|Furnierer|Holzoberflächenbearbeiter|Holzoberflächenbearbeiterin
Oberkellner,"Oberkellner leiten das Servieren von Speisen und Getränken in einem Gastronomiebetrieb oder einer entsprechenden Einrichtung. Sie sind für das Wohlergehen des Kunden verantwortlich. Oberkellner koordinieren alle Tätigkeiten mit Kundenkontakt, z. B. die Begrüßung der Kunden sowie das Aufnehmen der Bestellungen und das Servieren der Speisen und Getränke. Sie überwachen die Bezahlvorgänge.",Chefkellnerin|Zahlkellnerin|Zahlkellner|Oberkellnerin|Chefkellner
Oberkellnerin,"Oberkellner leiten das Servieren von Speisen und Getränken in einem Gastronomiebetrieb oder einer entsprechenden Einrichtung. Sie sind für das Wohlergehen des Kunden verantwortlich. Oberkellner koordinieren alle Tätigkeiten mit Kundenkontakt, z. B. die Begrüßung der Kunden sowie das Aufnehmen der Bestellungen und das Servieren der Speisen und Getränke. Sie überwachen die Bezahlvorgänge.",Chefkellnerin|Oberkellner|Zahlkellnerin|Zahlkellner|Chefkellner
Oberlederschärfer,"Oberlederschärfer bedienen Werkzeuge und Geräte zum Trennen, Spalten, Falten, Stanzen, Crimpen und Prägen der zu nähenden Schuhoberteile und bei Bedarf Aufbringen von Verstärkungsstreifen an verschiedenen Teilen. Sie können die Teile auch vor dem Nähen zusammenkleben. Oberlederschärfer nehmen diese Aufgaben gemäß den Anweisungen des technischen Datenblattes wahr.",Oberlederschärferin
Oberlederschärferin,"Oberlederschärfer bedienen Werkzeuge und Geräte zum Trennen, Spalten, Falten, Stanzen, Crimpen und Prägen der zu nähenden Schuhoberteile und bei Bedarf Aufbringen von Verstärkungsstreifen an verschiedenen Teilen. Sie können die Teile auch vor dem Nähen zusammenkleben. Oberlederschärfer nehmen diese Aufgaben gemäß den Anweisungen des technischen Datenblattes wahr.",Oberlederschärfer
Oberlederzurichter,"Oberlederzurichter kontrollieren Leder, Textilien, synthetische Materialien, Färbemittel und Schuhe. Sie wählen zuzuschneidende Bereiche von Materialien im Hinblick auf Qualität und Streckrichtung aus und entscheiden darüber, wo und wie zugeschnitten wird, und sie übernehmen die Programmierung und Ausführung bestimmter Technologien oder Maschinen. Die Ausrüstung, die für große Oberflächen von Materialien verwendet wird, ist häufig ein automatisches Messer. Oberlederzurichter positionieren und behandeln Leder oder andere Materialien. Sie passen Schneidemaschinen an, wählen passende Bestandteile von Schuhwerk und andere Teile aus und gleichen zugeschnittene Stücke mit den Spezifikationen und Qualitätsanforderungen ab.",Oberlederzurichterin
Oberlederzurichterin,"Oberlederzurichter kontrollieren Leder, Textilien, synthetische Materialien, Färbemittel und Schuhe. Sie wählen zuzuschneidende Bereiche von Materialien im Hinblick auf Qualität und Streckrichtung aus und entscheiden darüber, wo und wie zugeschnitten wird, und sie übernehmen die Programmierung und Ausführung bestimmter Technologien oder Maschinen. Die Ausrüstung, die für große Oberflächen von Materialien verwendet wird, ist häufig ein automatisches Messer. Oberlederzurichter positionieren und behandeln Leder oder andere Materialien. Sie passen Schneidemaschinen an, wählen passende Bestandteile von Schuhwerk und andere Teile aus und gleichen zugeschnittene Stücke mit den Spezifikationen und Qualitätsanforderungen ab.",Oberlederzurichter
Oberleitungsbusfahrer,"Oberleitungsbusfahrer bedienen Oberleitungsbusse oder Linienbusse, nehmen Fahrpreise ein und betreuen Fahrgäste.",O-Bus-Fahrer|O-Bus-Fahrerin|Oberleitungsbusfahrerin
Oberleitungsbusfahrerin,"Oberleitungsbusfahrer bedienen Oberleitungsbusse oder Linienbusse, nehmen Fahrpreise ein und betreuen Fahrgäste.",Oberleitungsbusfahrer|O-Bus-Fahrer|O-Bus-Fahrerin
Oberst,Oberste sind einem Kommandeur unterstellt und fungieren in operations- und strategiebezogenen Fragen als Hauptberater/-beraterinnen für Offiziere höheren Ranges.,Oberstleutnantin|Oberstleutnant
Oberstabsgefreite,Oberstabsgefreite beaufsichtigen Soldatengruppen und erteilen Weisungen. Sie verfügen auch über Ausrüstung wie schweres Gerät und Waffen.,Oberstabsgefreiter|Korporal|Korporalin|Zugsführer|Zugsführerin
Oberstabsgefreiter,Oberstabsgefreite beaufsichtigen Soldatengruppen und erteilen Weisungen. Sie verfügen auch über Ausrüstung wie schweres Gerät und Waffen.,Korporal|Korporalin|Zugsführer|Zugsführerin
Obst- und Gemüseabfüller,"Obst- und Gemüseabfüller bedienen Maschinen, um Industrieerzeugnisse auf Obst- und Gemüsebasis für die Lagerung oder den Versand vorzubereiten. Sie nehmen eine Vielzahl von Aufgaben wahr, wie das Sortieren, Einordnen, Waschen, Schälen, Schneiden und Hobeln. Darüber hinaus folgen sie Verfahren für das Eindosen, Einfrieren, Konservieren und Verpacken von Lebensmitteln.",Obst- und Gemüseabfüllerin|Obst- und Gemüseverarbeiterin|Mitarbeiterin in der Konservenfabrik|Obst- und Gemüseverarbeiter|Mitarbeiter in der Konservenfabrik
Obst- und Gemüseabfüllerin,"Obst- und Gemüseabfüller bedienen Maschinen, um Industrieerzeugnisse auf Obst- und Gemüsebasis für die Lagerung oder den Versand vorzubereiten. Sie nehmen eine Vielzahl von Aufgaben wahr, wie das Sortieren, Einordnen, Waschen, Schälen, Schneiden und Hobeln. Darüber hinaus folgen sie Verfahren für das Eindosen, Einfrieren, Konservieren und Verpacken von Lebensmitteln.",Obst- und Gemüseverarbeiterin|Mitarbeiterin in der Konservenfabrik|Obst- und Gemüseverarbeiter|Obst- und Gemüseabfüller|Mitarbeiter in der Konservenfabrik
Obst- und Gemüsepflücker,"Obst- und Gemüsepflücker übernehmen die Auswahl und Ernte von Obst, Gemüse und Nüssen gemäß der für die jeweilige Art von Obst, Gemüse und Nuss geeigneten Methode.",Erntearbeiterin im Bereich Obst und Gemüse|Obst- und Gemüsepflückerin|Erntehelfer im Bereich Obst und Gemüse|Erntearbeiter im Bereich Getreide|Erntearbeiter im Bereich Obst und Gemüse|Erntearbeiterin im Bereich Getreide|Erntehelferin im Bereich Obst und Gemüse
Obst- und Gemüsepflückerin,"Obst- und Gemüsepflücker übernehmen die Auswahl und Ernte von Obst, Gemüse und Nüssen gemäß der für die jeweilige Art von Obst, Gemüse und Nuss geeigneten Methode.",Erntearbeiterin im Bereich Obst und Gemüse|Erntehelfer im Bereich Obst und Gemüse|Erntearbeiter im Bereich Getreide|Erntearbeiter im Bereich Obst und Gemüse|Obst- und Gemüsepflücker|Erntearbeiterin im Bereich Getreide|Erntehelferin im Bereich Obst und Gemüse
Obstpressenbediener,"Obstpressenbediener bedienen mechanische Pressen, um Saft aus Früchten zu extrahieren. Zu diesem Zweck verteilen sie Früchte gleichmäßig auf einem Tuch, bevor sie die Presse bedienen, und bereiten Filterbeutel zwischen den Abschnitten in den Maschinen auf den Extraktionsvorgang vor. Sie entfernen die Filterbeutel oder ziehen den Karren aus der Presse und schütten den Trester in Behälter.",Fruchtpressenbedienerin|Obstpressenbedienerin|Fruchtpressenbediener
Obstpressenbedienerin,"Obstpressenbediener bedienen mechanische Pressen, um Saft aus Früchten zu extrahieren. Zu diesem Zweck verteilen sie Früchte gleichmäßig auf einem Tuch, bevor sie die Presse bedienen, und bereiten Filterbeutel zwischen den Abschnitten in den Maschinen auf den Extraktionsvorgang vor. Sie entfernen die Filterbeutel oder ziehen den Karren aus der Presse und schütten den Trester in Behälter.",Obstpressenbediener|Fruchtpressenbedienerin|Fruchtpressenbediener
Odds Manager,"Odds Manager legen die Gewinnquoten bei Glücksspielen fest. Sie arbeiten für Buchmacher, Wettbörsen, Lotterien und digitale/Online-Lotterien sowie für Casinos, die Verbrauchern die Möglichkeit bieten, Wetten auf bestimmte Ergebnisse (z. B. von Sportwettkämpfen) zu platzieren. Abgesehen von der Preisgestaltung üben sie auch beliebige Tätigkeiten in Bezug auf die Handelsaspekte des Glücksspiels aus, etwa die Überwachung der Kundenkonten und der Rentabilität ihrer Geschäfte. Bisweilen ist ein Odds Manager erforderlich, um die finanzielle Lage des Buchmachers zu überwachen und seine Position (und die Gewinnquoten) entsprechend anzupassen. Außerdem können Odds Manager zu Rate gezogen werden, wenn es darum geht, ob eine Wette abgeschlossen werden soll oder nicht.","Quotenmanager, Quotenmanagerin|Quotenexperte, Quotenexpertin|Quoten-Händler, Quoten-Händlerin|Fußballquoten-Compiler|Fußballwettquoten- Compiler|Sportwetten-Händler, Sportwetten-Händlerin|Quotenverantwortlicher, Quotenverantwortliche|Sportquoten-Compiler|Pferderennenquoten-Compiler|Glücksspielrisiko-Händler, Glücksspielrisiko-Händlerin|Wettexperte, Wettexpertin"
Ökologe,"Ökologen/Ökologinnen bewerten die Gesundheit und die Verteilung von Organismen, d. h. von Menschen, Pflanzen und Tieren, sowie die Beziehungen zwischen Organismen und ihrer Umgebung. Ökologen/Ökologinnen verfügen in der Regel über eine Spezialisierung, z. B. auf Süßwasser-, Meeres- und Landfauna und -flora, in der sie forschen und Aufgaben wahrnehmen.",Agrarökologe|Ararökologin|Umweltökologin|Landschaftsökologe|Ökologin|Sozialökologin|Sozialökologe|Landschaftsökologin|Umweltökologe
Ökologin,"Ökologen/Ökologinnen bewerten die Gesundheit und die Verteilung von Organismen, d. h. von Menschen, Pflanzen und Tieren, sowie die Beziehungen zwischen Organismen und ihrer Umgebung. Ökologen/Ökologinnen verfügen in der Regel über eine Spezialisierung, z. B. auf Süßwasser-, Meeres- und Landfauna und -flora, in der sie forschen und Aufgaben wahrnehmen.",Agrarökologe|Ararökologin|Ökologe|Umweltökologin|Landschaftsökologe|Sozialökologin|Sozialökologe|Landschaftsökologin|Umweltökologe
Ölmüller,Ölmüller/innen extrahieren mit handwerklichen Techniken Öl aus Ölsaat.,Ölmühlenbediener|Ölmüllerin|Ölmühlenbedienerin
Ölmüllerin,Ölmüller/innen extrahieren mit handwerklichen Techniken Öl aus Ölsaat.,Ölmühlenbediener|Ölmüller|Ölmühlenbedienerin
Ölsaatpressenbediener,"Ölsaatpressenbediener bedienen hydraulische Pressen, mit denen Öl aus Ölsaat gewonnen wird.",Ölsamenpressenbediener|Ölsamenpressenbedienerin|Ölsaatpressenbedienerin
Ölsaatpressenbedienerin,"Ölsaatpressenbediener bedienen hydraulische Pressen, mit denen Öl aus Ölsaat gewonnen wird.",Ölsamenpressenbediener|Ölsamenpressenbedienerin|Ölsaatpressenbediener
Önologe,"Önologen/Önologinnen verfolgen das gesamte Weinherstellungsverfahren und beaufsichtigen das Kellereipersonal. Sie überwachen und koordinieren die Weinherstellung, um die Qualität des Weins zu gewährleisten, und geben darüber hinaus Ratschläge, indem sie den Wert und die Klassifizierung der erzeugten Weine bestimmen.",Oenologin|Weinfachfrau|Weinwissenschaftlerin|Weinwissenschaftler|Weinfachmann
Önologin,"Önologen/Önologinnen verfolgen das gesamte Weinherstellungsverfahren und beaufsichtigen das Kellereipersonal. Sie überwachen und koordinieren die Weinherstellung, um die Qualität des Weins zu gewährleisten, und geben darüber hinaus Ratschläge, indem sie den Wert und die Klassifizierung der erzeugten Weine bestimmen.",Oenologe|Weinfachfrau|Weinwissenschaftlerin|Weinwissenschaftler|Weinfachmann
Offizier für die Streitkräfte,"Offiziere/Offizierinnen für die Streitkräfte überwachen Operationen und Manöver, verteilen Aufgaben und haben Befehlsgewalt über die unterstellten Angehörigen der Streitkräfte. Sie sorgen für eine effiziente Kommunikation innerhalb und zwischen den Einheiten und übernehmen Ausbildungsaufgaben. Zudem bedienen sie Ausrüstung und kontrollieren die Ausrüstungswartung.",Offizierin|Offizierin für die Streitkräfte|Offizier
Offizierin für die Streitkräfte,"Offiziere/Offizierinnen für die Streitkräfte überwachen Operationen und Manöver, verteilen Aufgaben und haben Befehlsgewalt über die unterstellten Angehörigen der Streitkräfte. Sie sorgen für eine effiziente Kommunikation innerhalb und zwischen den Einheiten und übernehmen Ausbildungsaufgaben. Zudem bedienen sie Ausrüstung und kontrollieren die Ausrüstungswartung.",Offizier für die Streitkräfte|Offizierin|Offizier
Ombudsfrau,"Ombudsmänner/Ombudsfrauen legen als unparteiische Vermittler Streitigkeiten bei, wenn zwischen den beiden Parteien ein ungleiches Kräfteverhältnis besteht. Sie befragen die Beteiligten und untersucht den Fall, um eine für beide Seiten vorteilhafte Lösung zu finden. Sie beraten die Parteien hinsichtlich der Konfliktlösung und bieten ihnen Unterstützung an. Die Beschwerden, die an Ombudsmänner/Ombudsfrauen herangetragen werden, richten sich überwiegend gegen öffentliche Einrichtungen und Behörden.",Vertrauensfrau|Ombudsmann|Bürgerbeauftragte|Vertrauensmann|Bürgerbeauftragter
Ombudsmann,"Ombudsmänner/Ombudsfrauen legen als unparteiische Vermittler Streitigkeiten bei, wenn zwischen den beiden Parteien ein ungleiches Kräfteverhältnis besteht. Sie befragen die Beteiligten und untersucht den Fall, um eine für beide Seiten vorteilhafte Lösung zu finden. Sie beraten die Parteien hinsichtlich der Konfliktlösung und bieten ihnen Unterstützung an. Die Beschwerden, die an Ombudsmänner/Ombudsfrauen herangetragen werden, richten sich überwiegend gegen öffentliche Einrichtungen und Behörden.",Vertrauensfrau|Bürgerbeauftragte|Vertrauensmann|Bürgerbeauftragter|Ombudsfrau
Omnibusfahrer,"Omnibusfahrer bedienen Omnibusse oder Reisebusse, nehmen Fahrpreise ein und betreuen Fahrgäste.",Reisebusfahrerin|Schulbusfahrer|Omnibusfahrerin|Omnisbusfahrerin|Schulbusfahrerin|Reisebusfahrer
Omnibusfahrerin,"Omnibusfahrer bedienen Omnibusse oder Reisebusse, nehmen Fahrpreise ein und betreuen Fahrgäste.",Reisebusfahrerin|Schulbusfahrer|Omnibusfahrer|Omnisbusfahrerin|Schulbusfahrerin|Reisebusfahrer
Online Community Manager,"Online Community Manager stellen eine interaktive Umgebung bereit, die durch Anwendungen wie soziale Medien, Foren und Wikis unterstützt wird. Sie pflegen Beziehungen zu verschiedenen digitalen Communitys.",Online Community Managerin
Online Community Managerin,"Online Community Manager stellen eine interaktive Umgebung bereit, die durch Anwendungen wie soziale Medien, Foren und Wikis unterstützt wird. Sie pflegen Beziehungen zu verschiedenen digitalen Communitys.",Online-Community-Manager
Online-Kundenberater,"Online-Kundenberater beantworten in Echtzeit Fragen und Auskunftsersuchen von Kunden aller Art auf Online-Plattformen, die über Websites und Online-Unterstützungsdienste erreichbar sind. Sie erbringen diese Dienstleistung über Chat-Plattformen und können die Anfragen von Kunden ausschließlich schriftlich beantworten.",Chat-Agent|Online-Kundenberaterin|Chat-Agentin
Online-Kundenberaterin,"Online-Kundenberater beantworten in Echtzeit Fragen und Auskunftsersuchen von Kunden aller Art auf Online-Plattformen, die über Websites und Online-Unterstützungsdienste erreichbar sind. Sie erbringen diese Dienstleistung über Chat-Plattformen und können die Anfragen von Kunden ausschließlich schriftlich beantworten.",Chat-Agent|Online-Kundenberater|Chat-Agentin
Online-Marketingspezialist,"Online-Marketingspezialisten nutzen E-Mails, das Internet und soziale Medien, um Waren und Marken zu vermarkten.",Online-VermarkterIn|Online-Marketingspezialistin
